Sample,Chimney,Methanosarcinales,ANME-1,Bipolaricaulota.1,Bipolaricaulota.2,Bipolaricaulota.3,Thermodesulfovibrionia.1,Thermodesulfovibrionia.2,Desulfotomaculum.1,Desulfotomaculum.2,Desulfotomaculum.3,Desulfobulbus,Desulfocapsa,Dehalococcoidia.1,Dehalococcoidia.2,Dehalococcoidia.3,Sulfurovum.1,Sulfurovum.2,Sulfurospirillum,Thiomicrorhabdus.1,Thiomicrorhabdus.2,Thiomicrorhabdus.3
LC02060 D,Camel Humps,0.03,0,0.014689081,0,0.00163212,0,0,0,0,0.05,0,0.22,0.00,0.12,0.25,0.11,5.48,2.22,0.7,0.69,1.68
LC02061 D,Camel Humps,0,0,0.021568941,0,0,0,0,0,0,0.1,0.02,0.01,0.00,0.11,0.41,0.09,0.04,0.29,0.16,0.16,0.38
LC02294 D,Camel Humps,0.02,0,0.015837194,0.001583719,0.006334877,0,0,0,0,0.03,0.01,0.01,0.00,0.40,0.88,0.13,0.11,0.41,1.26,0.43,0.2
LC02302 D,Camel Humps,0.01,0,0.00422665,0,0.00169066,0,0,0,0,0.03,0.01,0.03,0.00,0.37,0.79,0.07,0.3,0.42,4.15,1.06,0.2
LC01514 R,Sombrero RNA,1.17,0,0.511429857,0.094056066,0.005622917,0.09,0.19,0.01,0,0.12,0.19,0.06,0.01,0.42,0.38,0.72,0,7.51,6.18,14.96,4.98
LC02305 R,Sombrero RNA,0.29,0,0.096210839,0.026916128,0.016607823,0.01,0.08,0.01,0.01,0.15,0.21,0.01,0.02,0.95,0.75,1.28,0.01,4.81,2.2,4.78,4.1
LC00985 D,Sombrero,2.49,0,2.079339462,0.1248317,0.125723355,0.64,1.33,0.11,0.08,1.6,0.69,0.02,0.01,0.17,0.22,0.67,0.01,4.47,1.41,3.04,2
LC00986 D,Sombrero,0.72,0,1.259302074,0.046239434,0.283216531,0.19,0.19,0.29,0.16,3.54,0.22,0.02,0.01,0.08,0.18,1.2,0.03,6.28,1.66,4.24,3.11
LC01518 D,Sombrero,1.88,0,0.734889164,0.091215751,0.131660471,0.01,0.01,0.07,0.07,1.37,0.31,0.04,0.00,0.05,0.07,0.23,0.06,9.78,2.09,7.11,0.51
LC01520 D,Sombrero,1.35,0,1.445941505,0.083885362,0.149609976,0.03,0.06,0.33,0.22,2.09,0.93,0.04,0.00,0.11,0.27,0.95,0.04,7.01,1.66,4.38,1.24
LC01537 D,Sombrero,0.62,0,0.759731124,0.010942629,0.064092543,0.02,0.03,0.04,0.05,1.09,0.18,0.06,0.00,0.16,0.21,0.63,0.22,8.18,1.64,7.47,0.62
LC01538 D,Sombrero,1.13,0,1.243584503,0.109006677,0.181677794,0.04,0.08,0.21,0.07,1.59,0.25,0.01,0.01,0.13,0.20,0.2,0.03,6.43,4.46,9.77,0.5
LC02145 D,Sombrero,0.02,0,0.017072676,0,0,0.01,0.01,0.01,0.01,0.02,0.07,0,0.00,0.13,0.58,0.03,0.01,0.9,0.3,0.11,0.59
LC02057 D,Sombrero,0.27,0,0.354992449,0.050012748,0.457959872,0.02,0.08,0.19,0.32,3.56,0.11,0.01,0.02,0.18,0.42,0.37,0.06,0.92,0.71,0.69,2.22
LC02058 D,Sombrero,0.29,0.01,0.335938725,0.023515711,0.09742223,0.05,0.09,0.08,0.13,2.01,0.13,0.01,0.01,0.19,0.41,0.58,0.07,1.45,0.73,0.77,2.72
LC02300 D,Sombrero,0.18,0,0.234597109,0.003313518,0.095429333,0.02,0.09,0.16,0.31,2.29,0.14,0.01,0.01,0.08,0.13,0.66,0.04,0.89,1.57,1.1,2.2
LC02301 D,Sombrero,0.05,0,0.31746514,0.006835374,0.177719719,0.02,0.05,0.06,0.12,1.5,0.11,0.01,0.02,0.25,0.43,0.56,0.01,1.14,1.78,1.08,1.93
LC02303 D,Sombrero,0.14,0.01,0.270478593,0.018218765,0.105108262,0.11,0.2,0.04,0.04,1.8,0.24,0,0.02,0.04,0.33,1.25,0.2,0.95,1.38,0.51,3.99
LC03274 D,Sombrero,0,0.01,0.149185024,0.052854123,0.026427061,0.01,0.22,0.09,0.21,0.12,0.04,0,0.04,0.00,0.01,0.01,0,0.13,75.67,0.45,0.37
LC00043 D,Marker 3,0.39,0.03,2.811388881,0.024806372,0.079931645,1.03,11.51,2.16,8.41,0.54,0.09,1.22,0.51,0.00,0.07,0.08,0.04,3.5,0.97,4.05,0.36
LC00376 D,Marker 3,0.75,0.02,4.978970807,0.222662048,0,0.75,7.93,1.74,7.79,1.02,0,1.01,0.64,0.00,0.01,0,0,1.02,0.06,0.04,0.09
LC00377 D,Marker 3,1.36,0.01,5.846071333,0.062572629,0.008938947,0.96,12.49,2.04,11,0.92,0,2.06,2.25,0.00,0.00,0,0.77,0.97,0,0.01,0.46
LC00378 D,Marker 3,2.77,0.12,9.644271473,0.63157176,0.139969958,3.41,24.45,0.73,5.81,0.67,0,0.06,1.08,0.00,0.00,0.05,0.07,0.15,0.09,0.1,0.02
LC00419 D,Marker 3,1.29,0,1.697892272,0.175644028,0,0.22,8.19,4.75,9.5,1.73,0.01,3.5,1.55,0.01,0.01,0,0.02,0,0.01,0.04,0.08
LC00420 D,Marker 3,0.88,0.28,5.602740704,0.228391978,0.061856161,1.95,10.69,3.53,14.28,0.12,0,0.66,1.13,0.03,0.04,0.01,0.13,0.53,0.1,0.18,0.52
LC01770 R,Marker C RNA,0.18,0,0.077372236,0.049171141,0.015185205,0.24,0.92,0.01,0.04,0.03,0.01,0.01,0.03,2.05,1.57,0.53,0.04,2.31,0.62,0.87,0.42
LC03160 D,Marker C,0.86,0.29,3.7909922,0,0.369034639,3.55,17.65,13.95,6.25,1.6,0,0,0.49,0.01,0.00,0,0,4.59,0.39,2.57,0.01
LC00620 R,Calypso RNA,0.52,0.95,1.308710594,0.304355573,0.001285751,27.14,5.8,0.01,0.39,0,0.02,0,3.07,1.53,1.43,0.07,0,0.06,0.09,0.01,0.06
LC00325 D,Calypso,0.16,1.34,1.12319374,0.139873378,0.027343668,13.03,2.62,0.06,2.47,0,0,0,1.29,0.32,0.48,0.07,0.05,0.07,0.13,0,0.17
LC00326 D,Calypso,0.29,1.08,2.366028075,0.269758591,0.016675986,13.04,3.49,0.04,2.84,0.01,0,0,1.32,0.28,0.57,0.05,0.04,0.04,0.05,0,0.13
LC00603 D,Calypso,0.27,0.95,0.996298027,0.206304137,0.021564892,16.64,2.65,0.03,2.74,0.01,0,0,1.46,0.27,0.38,0.45,0.14,0.05,0.16,0,0.51
LC00604 D,Calypso,0.07,0.63,1.202362134,0.23916195,0.018838099,13.43,4.04,0.19,7.64,0.01,0.02,0,2.39,0.10,0.32,0.23,0.14,0.05,0.19,0,0.28
LC00614 D,Calypso,0.2,1.19,0.917006503,0.147690951,0.035269481,12.54,2.58,0.08,2.65,0.02,0.01,0,1.50,0.20,0.39,0.22,0.06,0.06,0.16,0,0.18
LC01090 D,Calypso,0.06,0.55,0.501383126,0.072614108,0.017289073,7.31,1.57,0.17,1.76,0.01,0,0,1.12,0.26,0.29,0.59,0.47,0.74,5.24,0.12,1.12
LC00328 R,Marker 2 RNA,0.12,0.31,0.105204936,0.053600347,0.025944849,0.1,0.51,0.08,0.18,0.02,0.01,0.02,0.73,0.16,0.15,0.02,0,7.28,4.51,0.51,0.02
LC00046 D,Marker 2,0,0.01,0.021645324,0,0,0.06,0,0.01,0.12,0.16,0,0,0.02,0.32,0.41,0,0,0.06,0.13,0,0
LC00047 D,Marker 2,0,0.01,0.057508304,0.00396609,0.00396609,0,0.1,0.03,0.06,0.06,0,0,0.02,0.51,0.84,0.09,0.02,0.03,0.14,0.03,0.05
LC00327 D,Marker 2,0,0.04,0.056804061,0.001775127,0.035502538,0.24,0.14,0.04,0.17,0.04,0,0,0.13,0.30,0.65,0.17,0.05,0.21,0.34,0.01,0.09
LC01550 D,Marker 8,0.03,0.03,0.129932031,0,0.001958774,0.13,0.47,0,0.08,0,0.05,0,0.07,0.05,0.05,31.21,0.29,0.53,0.06,0.34,4.45