Sample,Chimney,vhoG,vhoA,hydB3,hydA3,hydB2,hydA2,hyaC,hyaB,hyaA,hoxH,hoxY,hoxU,hoxF,mbhL,mbhK,mbhJ,hndD,hndC,hndB,hndA,mvhA,frhG,frhD,frhB,frhA,ehbQ,ehaR,echF,echE,echD,echC,echB,echA
LC18d018 MG,Camel Humps,0,0,36.7716,38.1325,0,0,92.1546,475.762,325.058,249.829,55.5363,43.0237,380.732,2.12179,0.346459,1.15253,0.0867909,1.67856,0.0822757,0.109913,0,0.49638,0,7.7426,2.55055,1.96327,0,0,25.7369,0,0.561857,18.377,40.5681
LC18d019 MG,Camel Humps,0,0,2.98678,2.8936,0,0,18.5863,111.551,81.7786,45.4602,9.18071,3.69102,71.2216,2.55232,0.325275,0.486925,0.366678,4.71179,0.0579337,0.541759,0.619951,0.349522,0,23.4525,1.27454,4.70022,0.0190181,0,0.818166,0.0600152,0.791253,0.277853,0.837618
LC18d009 MT,Sombrero MT,0,0,10.4821,25.1108,0,0,132.624,250.534,496.049,170.574,29.8098,6.17155,221.744,0,0,0.430247,0,3.81052,2.76428,0,6.57347,1.01916,0,2.36712,24.2642,0,0,0,3.47007,0,0,0,0.459385
LC18d009 MG,Sombrero,0,0,13.2134,14.3136,0.0427197,0.043913,109.262,640.036,495.494,339.977,66.5209,19.974,544.741,35.0546,5.9312,11.2656,2.1089,17.5497,1.04503,0.789078,4.21384,4.60524,0,33.5612,30.3513,0.867358,0,0.045436,5.13334,0,7.39501,1.96122,3.5791
LC18d010 MG,Sombrero,0,0,3.67518,4.1976,0,0,24.9126,143.949,112.913,78.1543,14.5704,4.84614,129.494,30.5669,5.39405,10.635,1.87857,8.48867,1.21847,0.563457,2.17315,4.38244,0.0326916,29.1224,28.8684,0.670967,0,0,4.9307,0,7.04074,0.32109,1.16823
LC18d011 MG,Sombrero,0,0,9.7533,9.72337,0.0421667,0,46.9285,296.498,224.409,137.542,27.9362,3.27491,212.562,27.3722,3.61967,8.29267,0.804253,18.2252,1.74907,1.31808,18.8768,4.24799,0.031285,32.0716,22.9621,0.963146,0,0.0448478,4.37019,0,5.66588,1.13691,2.28065
LC18d016 MG,Sombrero,0,0,7.25902,8.22155,0.0353355,0.0726451,41.8144,224.7,156.906,106.851,22.957,8.50935,163.451,15.8303,1.68808,4.52752,0.713605,12.9931,0.751646,0.903716,21.7171,2.67552,0,21.8605,12.4022,2.33166,0,0.0751646,1.80456,0.0778651,2.39538,0.360492,1.23664
LC18d017 MG,Sombrero,0,0,6.44298,7.90074,0.154779,0.0636411,53.9804,286.901,205.96,144.12,30.4743,16.1034,216.698,15.8494,1.94099,5.44222,0.903005,15.1043,0.724332,0.615771,17.1464,2.74117,0,28.3659,13.3014,5.81373,0.0216162,0.329242,2.55733,0.0682141,3.29761,0.225579,1.60863
LC18d001 MG,Marker 3,0,0,0.0564221,0.105999,0,0,1.20778,47.5568,37.5538,3.36668,0.795334,0.152324,5.17342,122.31,55.6728,76.4345,0.109289,3.62753,0.276276,0.692024,0,24.8146,0,96.2359,176.022,0,0.0113368,0,13.3877,0,26.8065,0.0473225,0.120522
LC18d002 MG,Marker 3,0,0,0.0274396,0.036152,0,0,0.604157,39.86,31.6728,1.31138,0.236812,0.148158,2.44177,103.045,63.4539,72.6269,0.205008,3.75654,0.151156,0.576943,0,27.3778,0,84.3665,181.106,0,0,0,5.42821,0,12.3131,0.0147949,0.0215314
LC18d007 MG,Calypso,0.134915,0.204003,0.522422,0.655333,0,0,1.65046,153.252,153.96,31.6925,6.62047,0.356651,3.67655,20.1181,2.9948,55.8825,7.01371,35.7767,6.74807,5.25863,135.455,1.00782,1.26913,30.2971,5.39184,4.18344,3.3011,0,0.443796,0,0.903573,0,0.0329834
LC18d008 MG,Calypso,0.0809196,0.159125,0.370452,0.645343,0,0,1.09433,120.71,117.055,24.2698,5.83739,0.400046,3.22141,14.1801,2.81669,40.0684,7.13974,31.2907,4.99971,6.13391,118.529,0.892605,1.02021,28.8751,4.31948,6.24922,2.89176,0.0340116,0.52836,0,1.23874,0.046606,0.169568
LC18d003 MT,Marker 2 MT,0,0,0,0,0,0,0,8.62241,85.2389,0,7.7322,0,0,0,0,0,27.9549,19.9746,18.2343,0,345.156,0,0,10.6507,64.1849,0,0,0,0,0,0,0,0
LC18d003 MG,Marker 2,0,0,0.925732,1.34389,0,0,12.8146,247.267,151.434,11.772,2.33022,0.555381,12.5954,2.73982,0.795332,1.19058,1.49428,6.01427,0.283308,0.378474,9.09508,0.0854618,0,11.147,0.283308,5.40826,0.651018,0,0,0,0,0,0.423738
LC18d004 MG,Marker 2,0,0,1.57668,2.3303,0,0,4.5174,197.647,136.703,8.00806,2.19809,1.14601,17.4343,0.717907,0,0.467948,0.352387,4.32861,0,0.446267,2.38316,0.10077,0,12.4662,0.66811,7.17412,0,0,0,0,0.380207,0.228877,0.166546