Sample,Chimney,mttC,mttB,mtbA,mtaC,mtaB,mtaA,cdhE,cdhD,cdhC,cdhB,cdhA,pta,ackA,hdrC2,hdrB2,hdrA2,mcrG,mcrB,mcrA,mtrH,mtrG,mtrF,mtrE,mtrD,mtrC,mtrB,mtrA,mer,hmd,mtd,mch,ftr,fwdH,fwdG,fwdF,fwdE,fwdD,fwdC,fwdB,fwdA
LC18d018 MG,Camel Humps,0,188.395,0.119611,0.151422,0.231174,20.3596,9.64676,5.39382,4.86701,2.28988,16.3632,69.9331,31.0596,6.55663,8.02213,9.71071,0.754558,3.1255,3.93344,4.06677,0,0.1475,2.03859,2.57236,0.480327,0,4.67957,35.7766,0,1.5201,54.1946,23.644,,6.82206,0.0254775,20.652,22.8737,109.323,38.5811,121.324
LC18d019 MG,Camel Humps,0,347.582,0,0.213245,0.209287,55.568,4.26208,5.27502,3.16841,2.38196,12.3111,156.125,11.6094,6.31157,9.76756,5.12828,0.966028,2.08183,3.05136,2.395,0,0.10386,1.28165,2.05281,0.383314,0.19588,24.7818,140.099,0,2.87053,22.1889,11.1879,,3.30914,0.0159305,20.5369,11.4109,64.8898,21.0892,95.9813
LC18d009 MT,Sombrero MT,0,70.3293,0,18.654,2.21912,62.8882,76.9671,116.339,69.9332,24.6735,256.891,8.8225,5.57945,7.7457,3.53544,25.354,12.0355,81.3588,152.562,3.03632,0,0,13.8614,25.6075,3.46666,1.03848,7.27884,72.6664,0,28.3733,20.4586,17.2999,,0.0985031,0,2.02993,1.10912,39.4769,14.9177,36.4189
LC18d009 MG,Sombrero,0,116.196,0,3.13581,6.09138,47.9088,93.594,93.5805,84.0812,32.2177,307.361,73.6804,23.1751,17.2334,43.1016,34.3146,15.6072,45.9497,47.6044,52.9609,0,1.54765,25.3705,29.5476,6.8613,3.58456,47.1087,51.2415,0,28.0076,59.6048,38.9627,,0.554881,0,0.442421,2.18674,13.0681,5.84839,16.2412
LC18d010 MG,Sombrero,0,49.1787,0,5.82189,7.76892,51.9805,75.7959,82.1847,67.4755,28.5171,265.186,19.0297,8.3403,15.9787,24.5288,27.3433,13.2455,34.9802,43.4047,47.8449,0,2.35244,23.5554,29.8904,5.76373,3.64442,39.9268,38.2149,0,22.7483,46.8242,32.9149,,0,48.137,0,0,0,22.671,40.8103
LC18d011 MG,Sombrero,0,214.945,0,5.81901,6.8406,69.4352,101.353,108.295,76.886,27.9142,329.652,57.8534,16.1284,17.1912,35.8326,35.3827,11.4043,31.357,36.9945,37.8059,0,1.36681,18.7319,21.9673,5.42846,2.77998,32.2038,83.1646,0,18.8317,45.3903,31.7564,,0,59.7277,0,0,0,27.6233,53.9881
LC18d016 MG,Sombrero,0,287.645,0,1.31418,2.32313,60.3262,40.0904,41.0636,28.0204,10.5549,94.8127,124.833,20.908,11.5249,25.1926,20.6471,4.38671,12.116,12.0594,13.1048,0,0.404253,5.91974,11.1235,1.98928,1.18598,21.4646,93.4844,0.0738834,8.07983,30.5964,16.4163,,0.339186,2.09008,3.99422,0.763829,7.58202,4.48626,16.3026
LC18d017 MG,Sombrero,0,294.145,0,1.45427,2.61667,49.6046,36.9381,38.1324,31.162,13.9117,110.688,122.429,22.0733,9.96364,28.0893,19.9385,5.8194,15.9552,16.7542,20.298,0,0.472197,8.79875,11.9408,2.89599,1.48427,24.11,95.4445,0,8.51617,34.358,19.3017,,0,0.492891,0.392472,1.80129,9.57871,3.57064,13.801
LC18d001 MG,Marker 3,0,8.99993,0,8.3579,49.0849,399.495,250.173,263.254,237.206,118.091,632.635,0.766536,2.05847,42.8141,51.6774,48.2567,54.7348,140.303,105.75,195.807,0.219919,25.5076,75.2692,70.6859,19.2339,25.9607,194.784,91.1995,31.943,41.7923,247.669,115.361,,1.4311,0,0.351093,0.258617,1.18482,0.885083,9.67586
LC18d002 MG,Marker 3,0,6.22845,0,9.67707,41.3008,328.033,243.429,226.856,205.777,83.647,422.458,0.479298,6.29462,36.2897,54.8586,30.0146,40.0036,123.245,74.5216,191.811,0.229184,19.2786,68.1599,40.7777,14.2621,24.1908,179.698,66.3744,36.0623,55.9086,295.98,120.808,,2.94176,0,1.08256,0.828086,2.34853,2.67501,26.7377
LC18d007 MG,Calypso,0.0290489,458.103,0,6.42274,3.70444,58.9648,360.354,391.247,216.389,48.1454,1042.87,85.4291,7.79291,24.1585,36.2172,262.497,9.26652,23.9433,24.7936,22.2662,0,0.0593018,14.2846,16.3405,4.68625,0.149124,21.5186,89.0565,4.29197,11.9731,52.942,29.5067,,2.0671,0,5.04455,7.14585,45.4255,16.0986,42.6039
LC18d008 MG,Calypso,0.0298681,553.742,0.0494455,5.44584,3.34474,68.0013,303.936,340.529,184.948,38.8323,897.798,79.0012,7.96441,26.8983,35.6495,220.438,7.54288,21.2662,20.7525,16.842,0,0.0609742,11.0758,14.7455,3.44172,0.459988,19.9089,104.417,3.07573,10.3113,45.2471,24.748,,2.3004,0.0345737,6.02902,5.05404,39.9553,13.191,33.571
LC18d003 MT,Marker 2 MT,0,82.2756,0,0,0,7.98618,174.111,223.142,193.75,50.5957,930.631,82.8513,29.8116,52.7289,18.2729,55.853,29.189,343.973,1031.91,365.326,0,0,20.0083,0,0,0,0,52.9735,0,0,134.054,0,,1.34233,0,4.37331,4.91719,38.4933,13.2448,34.2441
LC18d003 MG,Marker 2,0,257.158,0,0.782112,1.02346,34.4327,37.4513,40.2417,27.194,6.63056,110.374,147.962,37.875,6.00151,10.5506,37.5181,1.18102,4.65399,1.83653,1.78227,0,0.5079,1.25351,0,0.441056,0,11.7495,69.1472,0.556959,2.61716,13.6291,14.3292,,0.449947,0,1.76618,3.17487,15.8053,8.15321,18.2437
LC18d004 MG,Marker 2,0,458.529,0,0.614803,0,53.4023,10.7519,5.47499,1.86424,1.05652,21.8425,78.5092,44.1851,8.7614,15.8333,9.97417,0.278513,1.02893,0.812059,0.300216,0,0,0.591218,0.696283,0,0,4.74999,103.4,0,2.24433,15.4523,11.1359,,1.65555,0,2.43695,4.0241,22.7835,9.51486,25.5039